国家,背号,姓名,位置,身高(cm),出生年份,俱乐部
土耳其,5,伊尔马兹,L,169,1997,土耳其航空
土耳其,3,奥兹巴依,S,179,1996,瓦基弗银行
土耳其,33,伊兹比勒尔,L,172,1997,尼吕费尔
土耳其,4,瓦尔加斯,O,194,1999,费内巴切
土耳其,6,S.沙欣,OH,183,1998,泽仁体育
土耳其,7,巴拉丁,OH,187,1997,费内巴切
土耳其,8,杰克,MB,195,1993,伊萨奇巴希
土耳其,19,卡拉奇,MB,185,1995,费内巴切
土耳其,27,巴尔坎,MB,193,2009,伊萨奇巴希
土耳其,10,亚特金,L,170,1999,加拉塔萨雷
土耳其,57,梅尔韦,MB,191,2000,贝西克塔斯
土耳其,88,居韦利,MB,188,1999,加拉塔萨雷
土耳其,12,E.沙欣,S,184,2001,伊萨奇巴希
土耳其,17,于兹根奇,O,192,1999,库泽博鲁
土耳其,21,丘鲁克,O,182,2001,库泽博鲁
土耳其,34,耶希尔马克,O,184,2005,伊尔银行
土耳其,13,迪拉伊,S,189,2005,伊萨奇巴希
土耳其,15,尤亚尼克,MB,194,2001,瓦基弗银行
土耳其,16,奥兹登,MB,187,2004,瓦基弗银行
土耳其,18,居内什,MB,198,1999,瓦基弗银行
土耳其,23,萨弗罗诺娃,OH,192,2006,勒卡内沃莱罗
土耳其,20,亚普拉克,OH,182,2001,伊萨奇巴希
土耳其,22,伊尔金,OH,179,2000,加拉塔萨雷
土耳其,99,卡拉库尔特,OH,195,2000,伊萨奇巴希
土耳其,44,阿克索伊,MB,190,2003,土耳其航空
土耳其,77,乌伊萨尔坎,OH,196,2009,瓦基弗银行
土耳其,91,巴绍尔朱,OH,192,2006,阿拉斯货运
土耳其,28,布塞,S,184,1997,尼吕费尔
土耳其,51,卡拉索伊,S,181,1996,费内巴切
乌克兰,1,米连科,OH,180,1999,布加勒斯特迪纳摩
乌克兰,2,梅柳什金娜,MB,190,1996,贝西克塔斯
乌克兰,27,库特尼亚科娃,L,180,1997,SK Balta-BPK
乌克兰,3,日林斯卡,MB,191,2007,拉多姆
乌克兰,4,卢岑科,L,176,2003,弗罗茨瓦夫
乌克兰,7,多斯曼,MB,184,1993,热舒夫
乌克兰,8,赫拉西姆丘克,MB,185,2006,布科温卡
乌克兰,20,马耶夫斯卡,MB,190,2001,Absheron
乌克兰,9,帕尔福诺娃,S,182,1998,布科温卡
乌克兰,10,努达,OH,178,2002,新堡奥林匹亚
乌克兰,29,雷博夫列娃,MB,188,2005,Halychanka-TNEU-GADZ
乌克兰,11,丹恰克,O,192,2000,IBK企业银行
乌克兰,16,利索娃,O,195,2009,布科温卡
乌克兰,13,费季克,OH,180,2002,考波什堡
乌克兰,24,哈尔钦斯卡,O,192,2001,俄亥俄大学
乌克兰,32,费德丘克,O,180,1996,SK Balta-BPK
乌克兰,14,沙尔霍罗茨卡,S,182,2002,七河
乌克兰,6,帕夫利克,OH,180,2005,布科温卡
乌克兰,17,纳帕尔科娃,S,185,1997,维耶斯蒂
乌克兰,19,阿尔季舒克,O,190,2001,什未林
乌克兰,18,卡普兰斯卡,OH,180,2003,摩德纳
乌克兰,21,扎尔科娃,MB,192,2005,SK Balta-BPK
乌克兰,28,卡普兰斯卡,OH,180,2003,Absheron
乌克兰,33,亚库舍娃,OH,185,2002,多布罗迪
乌克兰,22,博伊科,L,174,2003,布科温卡
乌克兰,23,迪马尔,OH,182,1994,厄斯克门
乌克兰,26,科塔尔,MB,190,2000,米卢斯
乌克兰,25,霍洛德,S,177,2006,SK Balta-BPK
乌克兰,30,莫尔恰诺娃,S,182,2007,拉多姆
乌克兰,34,胡赛诺娃,S,179,2004,VK Naftusya
美国,1,汉考克,S,180,1992,AU 女排联赛
美国,2,波尔特,S,188,1997,盐湖城 LOVB
美国,3,A. 斯金纳,OH,186,1999,斯坎迪奇
美国,5,基普,O,196,2000,贝加莫
美国,6,亨茨,L,175,1998,大急流城崛起队
美国,7,奥尼尔,MB,190,1999,奥斯汀 LOVB
美国,8,罗德里格斯,L,165,2003,内布拉斯加 LOVB
美国,9,M. 斯金纳,O,188,2001,奥斯汀 LOVB
美国,10,万克,OH,186,1996,弗拉门戈
美国,11,卡阿哈艾纳 - 托雷斯,S,183,2000,大急流城崛起队
美国,12,汤普森,O,193,1997,AU 女排联赛
美国,14,霍尔,MB,188,1999,麦迪逊 LOVB
美国,16,雷特克,MB,203,1999,伊萨奇巴希
美国,17,迈纳,S,183,2003,米兰
美国,18,斯科特,L,175,2003,印第安纳星火
美国,19,奥格尔维,L,178,2002,奥马哈超新星队
美国,20,费尔班克斯,S,183,2003,亚特兰大 LOVB
美国,21,霍夫曼,OH,188,2000,盐湖城 LOVB
美国,22,富兰克林,OH,193,2002,斯坎迪奇
美国,24,奥博古,MB,188,1995,瓦基弗银行
美国,25,哈洛克,OH,190,1998,雅加达国家电力
美国,26,多德森,MB,193,2001,蒙维索
美国,27,班克斯,OH,188,2001,奥斯汀 LOVB
美国,29,麦凯奇,MB,191,1994,奥斯汀 LOVB
美国,33,埃格尔斯顿,OH,185,2000,奥斯汀 LOVB
美国,34,萨梅迪,O,188,1998,久光制药
美国,35,巴布科克,O,193,2005,匹兹堡大学
美国,44,斯塔福德,OH,185,2005,得克萨斯大学
美国,77,弗朗西斯,MB,198,2003,大阪奇妙
美国,99,贝尔德,OH,191,2001,奥萨斯科
